location_key,canonical_location,location_type,latitude,longitude
90004,90004,zip,34.0766,-118.3089
90006,90006,zip,34.0481,-118.2934
90007,90007,zip,34.0295,-118.2871
90011,90011,zip,34.0079,-118.2586
90012,90012,zip,34.0616,-118.2396
90016,90016,zip,34.0289,-118.3531
90017,90017,zip,34.0523,-118.2668
90018,90018,zip,34.0284,-118.3178
90019,90019,zip,34.0480,-118.3382
90025,90025,zip,34.0454,-118.4455
90026,90026,zip,34.0786,-118.2646
90029,90029,zip,34.0890,-118.2941
90035,90035,zip,34.0524,-118.3853
90034,90034,zip,34.0285,-118.3990
90036,90036,zip,34.0706,-118.3493
90037,90037,zip,34.0052,-118.2917
90044,90044,zip,33.9539,-118.2922
90048,90048,zip,34.0735,-118.3721
90005,90005,zip,34.0585,-118.3080
90057,90057,zip,34.0617,-118.2787
90069,90069,zip,34.0901,-118.3852
90291,90291,zip,33.9943,-118.4630
90003,90003,zip,33.9641,-118.2738
90002,90002,zip,33.9490,-118.2468
91343,91343,zip,34.2391,-118.4731
91335,91335,zip,34.2011,-118.5401
91423,91423,zip,34.1526,-118.4328
91405,91405,zip,34.2031,-118.4488
91601,91601,zip,34.1692,-118.3728
Beverly Hills,Beverly Hills,neighborhood,34.0736,-118.4004
Brentwood,Brentwood,neighborhood,34.0544,-118.4736
Burbank,Burbank,neighborhood,34.1808,-118.3090
Century City,Century City,neighborhood,34.0585,-118.4186
Crenshaw,Crenshaw,neighborhood,34.0117,-118.3350
Culver City,Culver City,neighborhood,34.0211,-118.3965
Del Rey,Del Rey,neighborhood,33.9856,-118.4244
Downtown Los Angeles,Downtown Los Angeles,neighborhood,34.0407,-118.2468
East Hollywood,East Hollywood,neighborhood,34.0928,-118.2917
Echo Park,Echo Park,neighborhood,34.0782,-118.2606
Fairfax,Fairfax,neighborhood,34.0838,-118.3616
Glendale,Glendale,neighborhood,34.1425,-118.2551
Glassell Park,Glassell Park,neighborhood,34.1161,-118.2403
Hawthorne,Hawthorne,neighborhood,33.9164,-118.3526
Hollywood,Hollywood,neighborhood,34.1016,-118.3269
Inglewood,Inglewood,neighborhood,33.9617,-118.3531
Jefferson Park,Jefferson Park,neighborhood,34.0297,-118.3218
Koreatown,Koreatown,neighborhood,34.0617,-118.3028
Los Feliz,Los Feliz,neighborhood,34.1082,-118.2870
Mar Vista,Mar Vista,neighborhood,34.0031,-118.4338
Mid-City,Mid-City,neighborhood,34.0416,-118.3443
Mid-Wilshire,Mid-Wilshire,neighborhood,34.0618,-118.3404
Miracle Mile,Miracle Mile,neighborhood,34.0630,-118.3561
North Hollywood,North Hollywood,neighborhood,34.1870,-118.3813
Pacoima,Pacoima,neighborhood,34.2625,-118.4210
Palms,Palms,neighborhood,34.0128,-118.4140
Pasadena,Pasadena,neighborhood,34.1478,-118.1445
Playa Vista,Playa Vista,neighborhood,33.9763,-118.4170
Santa Monica,Santa Monica,neighborhood,34.0195,-118.4912
Sawtelle,Sawtelle,neighborhood,34.0407,-118.4487
Sherman Oaks,Sherman Oaks,neighborhood,34.1511,-118.4490
Silver Lake,Silver Lake,neighborhood,34.0861,-118.2700
Studio City,Studio City,neighborhood,34.1379,-118.3919
Tarzana,Tarzana,neighborhood,34.1761,-118.5504
Thai Town,Thai Town,neighborhood,34.1018,-118.3016
USC/University Park,USC/University Park,neighborhood,34.0224,-118.2851
Venice,Venice,neighborhood,33.9850,-118.4695
Valley Glen,Valley Glen,neighborhood,34.1991,-118.4493
West Adams,West Adams,neighborhood,34.0326,-118.3439
West Hollywood,West Hollywood,neighborhood,34.0900,-118.3617
West Los Angeles,West Los Angeles,neighborhood,34.0465,-118.4305
Westwood,Westwood,neighborhood,34.0635,-118.4455
